City ID,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
212,São Filipe,88,CV,1659582001,86,14.8961,-24.4956,76.84,2.28
213,Bambous Virieux,40,MU,1659581952,77,-20.3428,57.7575,68.25,8.05
214,Coyhaique,75,CL,1659581986,75,-45.5752,-72.0662,39.15,3.44
215,Galveston,100,US,1659582118,80,29.3669,-94.9669,86.05,4.0
216,Tezu,100,IN,1659582118,88,27.9167,96.1667,81.59,0.72
217,Uberaba,61,BR,1659582029,42,-19.7483,-47.9319,69.1,10.83
218,Abhā,100,SA,1659582119,67,18.2164,42.5053,64.94,4.63
219,Lavrentiya,61,RU,1659581817,79,65.5833,-171.0,49.73,7.09
220,Althofen,0,AT,1659582119,86,46.8818,14.4676,59.56,2.21
221,Richards Bay,13,ZA,1659581743,78,-28.783,32.0377,63.3,13.38
222,Calabozo,100,VE,1659582120,95,8.9242,-67.4293,73.85,2.3
223,Salalah,100,OM,1659581868,96,17.0151,54.0924,76.77,5.1
224,Hobyo,97,SO,1659581915,82,5.3505,48.5268,75.6,24.02
225,Conakry,100,GN,1659582120,87,9.538,-13.6773,76.68,8.46
226,Saldanha,97,ZA,1659581922,68,-33.0117,17.9442,50.05,8.01
227,Kargopol',63,RU,1659582121,81,61.5071,38.9456,59.56,2.75
228,Russell,12,US,1659582016,65,32.3502,-85.1999,79.02,2.35
229,Lorengau,100,PG,1659582025,74,-2.0226,147.2712,83.52,12.37
230,Upernavik,12,GL,1659581820,80,72.7868,-56.1549,41.2,10.04
231,Progreso,13,MX,1659582121,86,21.2833,-89.6667,79.32,9.44
232,Chulumani,80,BO,1659582122,89,-16.4096,-67.5263,63.73,0.56
233,Codrington,0,AU,1659582122,61,-38.2667,141.9667,59.54,19.37
234,Vao,43,NC,1659581973,82,-22.6667,167.4833,71.73,13.53
235,Kovdor,78,RU,1659582123,92,67.5662,30.4758,54.55,7.94
236,Estelle,100,US,1659582123,79,29.8458,-90.1067,81.0,4.99
237,Coahuayana Viejo,89,MX,1659582051,87,18.7333,-103.6833,79.3,1.81
